                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4408,                 3.7756,                 3.9165,                 1.5798,                0.23492,                0.27821,                0.22449,                 0.1449,                0.17767,                0.24112,                0.18725,                 0.0794,                 1.4827,                 2.7961,                 5.1497,                 1.5466,             0.00016362,             0.00016362,             0.00016362
                      2,                 1.0675,                 2.1684,                 1.8977,                 1.2777,                0.55989,                0.22135,                0.26791,                0.17574,                0.54976,                0.21231,                0.23634,                0.11274,                 1.3016,                 2.9041,                 5.9909,                 1.4102,               0.000333,               0.000333,               0.000333
                      3,                 1.0438,                 1.9758,                 1.6346,                 1.2555,                0.29004,                0.30309,                0.24145,                 0.1273,                0.33606,                0.24335,                 0.1861,                0.08422,                  1.577,                 3.1396,                 3.7575,                 1.6728,             0.00049896,             0.00049896,             0.00049896
                      4,                 1.0349,                 1.8555,                  1.549,                  1.252,                0.47686,                0.33756,                0.27722,                0.15743,                0.40147,                0.28154,                0.20763,                0.08324,                 1.4655,                  3.259,                 2.5683,                 1.5626,              0.0006615,              0.0006615,              0.0006615
                      5,                 1.0303,                 1.8047,                 1.4431,                 1.2469,                0.37845,                 0.2405,                0.28771,                0.16077,                0.27431,                0.22601,                0.22549,                0.09159,                 1.5942,                 2.9792,                 2.7115,                 1.6279,             0.00082062,             0.00082062,             0.00082062
                      6,                 1.0505,                 1.7572,                 1.3586,                 1.2368,                0.35624,                0.31865,                0.26417,                0.13514,                0.35916,                0.25523,                0.20739,                0.08911,                 1.8104,                 3.0518,                 2.8054,                 1.8834,               0.000864,               0.000864,               0.000864
                      7,                 1.0201,                  1.653,                 1.2964,                 1.2364,                0.28765,                0.43485,                0.29255,                0.16548,                0.23882,                0.36616,                0.24415,                 0.1056,                 1.6953,                  3.106,                 2.1457,                 1.7277,               0.000864,               0.000864,               0.000864
                      8,                0.99085,                 1.5934,                 1.2037,                 1.1988,                0.33167,                0.41331,                0.33231,                0.20502,                0.36655,                0.43196,                 0.3228,                0.14526,                   1.61,                 2.6838,                 1.8402,                 1.5772,             0.00085501,             0.00085501,             0.00085501
                      9,                0.95843,                 1.5455,                 1.1605,                 1.2026,                0.40659,                0.39658,                0.35843,                0.22303,                0.36457,                0.36165,                0.32521,                0.15679,                 1.4424,                  2.724,                 1.8706,                 1.5484,             0.00084601,             0.00084601,             0.00084601
                     10,                0.96463,                 1.5824,                  1.138,                 1.2003,                0.33947,                 0.4633,                0.36042,                0.21432,                0.47226,                0.30098,                0.30136,                0.12196,                 1.5102,                 3.2555,                 2.1932,                 1.5265,             0.00083701,             0.00083701,             0.00083701
                     11,                0.94968,                 1.5469,                 1.1231,                 1.1921,                0.55825,                0.30818,                0.33727,                0.19511,                0.49531,                0.30245,                 0.3194,                0.15992,                 1.5862,                  2.883,                  2.286,                 1.6212,             0.00082801,             0.00082801,             0.00082801
                     12,                0.96082,                 1.5375,                 1.1152,                 1.1986,                0.44975,                0.35622,                0.35006,                0.20809,                0.41041,                0.34102,                0.31211,                0.13536,                  1.562,                 3.3962,                 1.9079,                 1.6082,             0.00081901,             0.00081901,             0.00081901
                     13,                0.93399,                 1.4642,                 1.0703,                 1.1789,                0.39523,                0.35592,                0.36114,                 0.2213,                0.33196,                0.40502,                0.32439,                0.15492,                 1.6474,                 2.9867,                 1.9983,                 1.5773,             0.00081001,             0.00081001,             0.00081001
                     14,                0.94792,                 1.4521,                 1.0232,                  1.186,                0.36198,                0.36531,                0.32169,                0.18982,                0.39144,                0.37884,                0.32619,                0.14501,                 1.4651,                 2.7456,                  2.008,                 1.4884,             0.00080101,             0.00080101,             0.00080101
                     15,                0.88695,                 1.3833,                0.97402,                 1.1538,                0.39948,                0.53225,                0.45302,                0.28876,                0.37236,                0.48678,                0.40407,                0.20967,                 1.3724,                 2.2561,                 1.5375,                 1.4208,             0.00079201,             0.00079201,             0.00079201
                     16,                0.85509,                 1.3637,                0.94377,                  1.143,                0.51669,                0.43622,                0.45521,                0.27357,                 0.5046,                 0.4163,                0.43151,                0.21228,                 1.3455,                 2.0336,                 1.4528,                 1.3805,             0.00078301,             0.00078301,             0.00078301
                     17,                0.84586,                 1.2927,                0.93156,                 1.1328,                0.57095,                0.37807,                0.42465,                0.25205,                0.55368,                0.36209,                 0.3994,                0.19752,                 1.3453,                 2.2825,                 1.7046,                 1.4585,             0.00077401,             0.00077401,             0.00077401
                     18,                0.86121,                 1.3487,                0.94394,                 1.1306,                 0.4735,                0.43572,                 0.3842,                0.24731,                0.60248,                0.39006,                0.38495,                0.18473,                 1.4174,                 2.5108,                 1.7059,                 1.4875,             0.00076501,             0.00076501,             0.00076501
                     19,                0.83207,                  1.265,                0.89005,                 1.1292,                0.57215,                0.44698,                0.48635,                0.32591,                0.56993,                0.40915,                0.45481,                 0.2466,                 1.3907,                  2.318,                 1.6338,                 1.4674,             0.00075602,             0.00075602,             0.00075602
                     20,                0.80401,                 1.2922,                0.88109,                  1.109,                0.39737,                0.47657,                0.41614,                 0.2727,                0.37829,                 0.4489,                0.37055,                0.17457,                  1.487,                 2.2325,                 1.7107,                 1.5679,             0.00074702,             0.00074702,             0.00074702
                     21,                0.79012,                 1.2239,                0.82899,                 1.1076,                 0.4145,                 0.5757,                0.48609,                0.30878,                0.39742,                0.55659,                0.45972,                0.22689,                 1.4454,                 2.2532,                 1.4904,                 1.4796,             0.00073802,             0.00073802,             0.00073802
                     22,                0.79706,                 1.2328,                0.85127,                 1.1017,                   0.38,                0.46917,                0.42288,                0.27475,                0.37675,                0.44198,                0.38836,                0.20374,                 1.4413,                 2.3078,                 1.6427,                 1.4652,             0.00072902,             0.00072902,             0.00072902
                     23,                0.78416,                 1.1708,                0.80646,                  1.096,                 0.4674,                0.42929,                0.44616,                0.28591,                 0.4883,                0.43435,                0.43964,                0.23144,                 1.3851,                 2.2146,                 1.4775,                 1.4461,             0.00072002,             0.00072002,             0.00072002
                     24,                0.80005,                 1.1535,                0.81509,                 1.1008,                 0.4105,                0.45016,                0.42456,                  0.265,                0.41254,                0.43343,                0.40828,                0.19631,                 1.2187,                 2.3606,                 1.5612,                 1.3739,             0.00071102,             0.00071102,             0.00071102
                     25,                0.75415,                 1.1345,                0.76087,                 1.0736,                0.43256,                0.48788,                0.43314,                 0.2819,                0.54122,                0.38489,                0.38625,                0.19124,                 1.3864,                 2.6243,                   1.78,                 1.4143,             0.00070202,             0.00070202,             0.00070202
                     26,                0.74558,                 1.1284,                0.73846,                 1.0683,                0.60375,                0.40421,                0.44533,                0.29593,                0.55427,                0.40834,                0.42622,                0.22638,                 1.3182,                 2.3195,                 1.8942,                 1.4024,             0.00069302,             0.00069302,             0.00069302
                     27,                0.74802,                 1.1373,                 0.7585,                 1.0712,                0.46743,                0.51508,                0.46113,                0.29267,                 0.5125,                0.47133,                0.44724,                0.24173,                 1.3437,                 2.5049,                 1.7294,                 1.4209,             0.00068402,             0.00068402,             0.00068402
                     28,                0.75031,                  1.161,                0.75834,                 1.0667,                0.45587,                0.57139,                0.49259,                0.31742,                0.56462,                0.43943,                0.45475,                0.25766,                 1.3688,                  2.089,                 1.5373,                 1.4041,             0.00067502,             0.00067502,             0.00067502
                     29,                0.71413,                 1.0883,                0.72757,                 1.0539,                0.46893,                 0.5075,                0.46164,                0.29346,                0.47727,                0.51008,                0.45718,                0.24346,                 1.3544,                 2.1621,                  1.636,                 1.4345,             0.00066602,             0.00066602,             0.00066602
                     30,                0.73048,                 1.1151,                0.72737,                 1.0655,                0.59703,                0.47334,                0.50021,                0.34383,                0.57622,                0.45852,                0.46669,                 0.2743,                 1.3009,                 2.2608,                 1.6098,                 1.3538,             0.00065703,             0.00065703,             0.00065703
                     31,                0.72131,                 1.0577,                0.69876,                 1.0545,                0.60346,                0.45999,                0.52249,                0.35776,                0.67126,                0.45402,                0.50405,                0.28568,                 1.2957,                 2.1192,                 1.7366,                 1.3782,             0.00064803,             0.00064803,             0.00064803
                     32,                0.69564,                0.99122,                0.65244,                 1.0395,                0.61431,                0.46508,                0.50792,                0.33268,                0.61535,                0.46709,                0.47764,                0.26307,                 1.2851,                 2.1425,                 1.6527,                 1.3785,             0.00063903,             0.00063903,             0.00063903
                     33,                0.70415,                  1.064,                0.68521,                 1.0434,                0.64464,                 0.4808,                 0.5005,                0.33243,                0.58883,                0.44806,                0.45693,                0.24246,                 1.2664,                 2.1215,                 1.5832,                 1.3508,             0.00063003,             0.00063003,             0.00063003
                     34,                0.72545,                 1.0799,                0.70714,                 1.0603,                0.48903,                0.51895,                0.50291,                0.33669,                0.60438,                0.45521,                0.48503,                0.25298,                 1.2293,                 2.2033,                 1.5124,                 1.3221,             0.00062103,             0.00062103,             0.00062103
                     35,                0.67667,                0.99042,                0.64435,                 1.0283,                0.66721,                0.46599,                0.54265,                0.36585,                0.66081,                0.46254,                0.51789,                0.26881,                 1.2361,                 2.1897,                 1.3671,                   1.34,             0.00061203,             0.00061203,             0.00061203
                     36,                 0.6976,                   1.04,                0.66678,                 1.0354,                0.52452,                0.47223,                0.50337,                0.32662,                0.50461,                0.45812,                0.46906,                0.25225,                 1.3024,                 2.3243,                 1.5279,                 1.3679,             0.00060303,             0.00060303,             0.00060303
                     37,                0.69819,                0.99465,                0.66051,                   1.04,                0.48745,                0.52609,                0.50611,                0.33086,                0.45693,                0.48324,                0.44762,                0.25072,                   1.24,                 2.3357,                 1.7872,                 1.3286,             0.00059403,             0.00059403,             0.00059403
                     38,                0.66132,                 0.9374,                0.62081,                 1.0239,                0.44452,                0.52094,                0.50049,                0.31028,                0.43974,                0.49747,                 0.4614,                0.25855,                  1.274,                  1.908,                 1.4728,                 1.3224,             0.00058503,             0.00058503,             0.00058503
                     39,                0.68527,                0.97674,                0.64101,                   1.03,                0.57042,                0.62571,                0.55922,                0.36934,                0.64725,                0.48258,                0.51585,                0.28817,                 1.1567,                  1.973,                  1.421,                 1.2991,             0.00057603,             0.00057603,             0.00057603
                     40,                0.66965,                0.95398,                0.63973,                 1.0235,                0.62968,                0.47477,                0.53663,                 0.3597,                0.58056,                0.43583,                0.48132,                0.27352,                 1.2071,                 2.0629,                 1.5125,                 1.2888,             0.00056703,             0.00056703,             0.00056703
                     41,                0.65929,                0.94159,                0.62747,                 1.0278,                0.55512,                0.45958,                0.49577,                0.33628,                0.67242,                0.43337,                0.49061,                 0.2678,                 1.2776,                  2.083,                 1.7557,                 1.3795,             0.00055804,             0.00055804,             0.00055804
                     42,                0.64854,                0.92746,                0.61394,                 1.0251,                0.54523,                 0.5282,                0.51214,                0.33616,                0.56647,                0.46705,                 0.4853,                0.25832,                 1.2587,                 2.1935,                 1.8654,                 1.3861,             0.00054904,             0.00054904,             0.00054904
                     43,                0.63741,                0.93507,                0.60768,                 1.0171,                0.58821,                0.43954,                0.49827,                0.33149,                0.59021,                0.43861,                0.47946,                0.26468,                 1.2959,                 2.3202,                 2.0177,                 1.4252,             0.00054004,             0.00054004,             0.00054004
                     44,                0.61518,                0.87322,                0.56533,                 1.0006,                0.61565,                0.42288,                 0.5124,                0.33948,                0.61685,                0.40225,                0.49546,                0.28376,                 1.2418,                  2.105,                 1.5889,                  1.337,             0.00053104,             0.00053104,             0.00053104
